HOST,FREQ
209.160.24.63,18
112.111.162.4,22
74.125.19.106,24
117.21.246.164,30
91.205.189.27,46
195.80.144.22,33
91.205.40.22,34
60.18.93.11,44
84.34.159.23,43
27.96.191.11,19
125.17.14.100,10
188.138.40.166,25
87.194.216.51,49
198.35.1.75,13
125.7.55.180,2
90.205.111.169,48
81.11.191.113,28
85.62.218.82,49
2.229.4.58,7
27.101.11.11,7
175.44.3.30,25
128.241.220.82,38
88.12.32.208,23
86.51.1.2,19
221.204.246.72,33
12.130.60.4,27
107.3.146.207,24
212.235.92.150,29
210.192.123.204,35
125.17.14.100,41
206.225.11.127,49
175.44.1.122,40
201.3.120.132,34
76.169.7.252,45
107.3.146.207,7
88.191.83.82,34
188.143.232.202,5
60.18.93.11,43
62.216.64.19,2
217.23.14.61,10
91.205.189.27,24
208.240.243.170,30
107.3.146.207,47
87.194.216.51,41
192.188.106.240,45
202.164.25.24,37
217.23.14.61,8
222.169.224.226,10
27.96.128.0,41
50.23.124.50,14
194.146.236.22,27
71.192.86.205,34
94.229.0.21,20
91.214.92.22,30
188.173.152.100,9
190.113.128.150,49
188.138.40.166,45
49.212.64.138,38
125.89.78.6,13
202.201.1.233,2
88.12.32.208,26
130.253.37.97,13
112.111.162.4,11
87.194.216.51,35
222.169.224.226,21
109.169.32.135,24
49.212.64.138,45
188.138.40.166,17
91.205.189.15,22
24.185.15.226,33
87.194.216.51,16
194.146.236.22,50
202.91.242.117,43
198.228.212.52,6
194.215.205.19,23
